OS,Device status,Name,Client security status,Patch status,Available patches count,Customer,Device Group,Last logged in user,Owner,Last Activity,OS name,OS version,CCS version,CCC version,External IP,Internal IP,AD\LDAP,Domain\Workgroup,Model,Processor,Serial Number,System Model,System Manufacturer,Ownership Type,Registered,Local Time Zone,Service Pack,Reboot Time,Reboot Reason,CPU usage - %,CPU frequency,RAM usage - %,RAM usage - MB,Total RAM,Network Usage,Disk free - GB,Disk used - GB,Security Profiles,Tags,Notes
Windows,Offline,Jane_Chen,未安裝用戶端安全性,提供非關鍵修補程式,1,Default Customer,Default Group - Default Customer,OTSUKATW\Jane_Chen,ethan,2023/11/07 09:18:32 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,,7.3.44980.22120,42.72.128.245,"10.30.30.6,172.20.10.2",192.168.111.2,otsukatw.corp,Latitude 5310 2-in-1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,G394YZ2,Latitude 5310 2-in-1,Dell Inc.,未指定,2023/11/03 09:37:26 AM,UTC +08:00,N/A,2023/11/07 12:21:43 AM,The process C:\Windows\System32\RuntimeBroker.exe (JANE_CHEN) has initiated the 電源關閉 of computer JANE_CHEN on behalf of user OTSUKATW\Jane_Chen for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,13,2208,51.86,4094,7895,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet SSL VPN Virtual Ethernet Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:187.2,C:56.3,otsuka_no_fw,,
Windows,Online,YuChieh_Cheng,安全,提供非關鍵修補程式,1,Default Customer,Default Group - Default Customer,OTSUKATW\YuChieh_Cheng,ethan,2023/11/08 09:48:49 AM,Microsoft Windows 11 專業版 (x64),10.0.22631,12.10.0.8697,8.2.46842.23060,61.216.145.10,192.168.6.54,192.168.111.2,otsukatw.corp,System Product Name,13th Gen Intel(R) Core(TM) i9-13900,System Serial Number,System Product Name,ASUS,未指定,2023/11/02 09:24:35 AM,UTC +08:00,N/A,2023/11/06 01:24:24 PM,The process C:\Windows\system32\winlogon.exe (YUCHIEH_CHENG) has initiated the 重新啟動 of computer YUCHIEH_CHENG on behalf of user NT AUTHORITY\SYSTEM for the following reason: 找不到這個原因的標題.  Reason Code: 0x500ff.  Shutdown Type: 重新啟動.  Comment: .,0,2000,27.4,17876,65243,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Ethernet Controller I226-V - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Marvell AQtion 10Gbit Network Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:826.5|D:7060|E:0,C:126.5|D:570.9|E:0,otsuka_no_fw,,
Windows,Offline,Yuchieh_cheng,需要注意,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\YuChieh_Cheng,ethan,2023/11/02 09:35:51 AM,Microsoft Windows 11 專業版 (x64),10.0.22621,12.10.0.8697,7.3.44980.22120,61.216.145.10,192.168.5.110,192.168.1.10,otsukatw.corp,Alienware m15 R7,12th Gen Intel(R) Core(TM) i7-12700H,J4BL5R3,Alienware m15 R7,Alienware,未指定,2023/10/27 05:02:08 PM,UTC +08:00,N/A,2023/10/27 05:03:30 PM,The process C:\Program Files (x86)\COMODO\Endpoint Manager\ITSMService.exe (YUCHIEH_CHENG) has initiated the 重新啟動 of computer YUCHIEH_CHENG on behalf of user NT AUTHORITY\SYSTEM for the following reason: 應用程式: 維護 (計畫之中).  Reason Code: 0x80040001.  Shutdown Type: 重新啟動.  Comment: .,3,2300,7.61,4963,65220,"Killer E3100G 2.5 Gigabit Ethernet Controller - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Killer(R) Wi-Fi 6E AX1675i 160MHz Wireless Network Adapter (211NGW) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:360.5|D:210.5|E:16,C:105|D:33.7|E:16.8,otsuka_no_fw,,
Windows,Online,Yolanda_lee,未安裝用戶端安全性,提供非關鍵修補程式,2,Default Customer,Default Group - Default Customer,OTSUKATW\Yolanda_Lee,ethan,2023/11/08 09:52:30 AM,Microsoft Windows 10 專業版 (x64),10.0.19045,,8.2.46842.23060,61.216.145.10,192.168.5.109,192.168.1.20,otsukatw.corp,Latitude 7430,12th Gen Intel(R) Core(TM) i5-1245U,8V6ZKN3,Latitude 7430,Dell Inc.,未指定,2023/10/27 04:02:33 PM,UTC +08:00,N/A,2023/10/31 04:37:18 PM,The process C:\Windows\System32\RuntimeBroker.exe (YOLANDA_LEE) has initiated the 電源關閉 of computer YOLANDA_LEE on behalf of user OTSUKATW\Yolanda_Lee for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,4,1600,51.27,8107,15811,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:61.2|D:113.2,C:62.3|D:6.8,otsuka_no_fw,,
Windows,Offline,Guangbin_Jiang,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,N/A,ethan,2023/11/06 04:27:03 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.10.0.8697,8.2.46842.23060,60.250.52.83,192.168.50.185,192.168.1.20,otsukatw.corp,Latitude 7480,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,BP5VJM2,Latitude 7480,Dell Inc.,未指定,2023/10/17 11:12:34 AM,UTC +08:00,N/A,2023/10/25 04:27:22 PM,The process C:\WINDOWS\system32\winlogon.exe (GUANGBIN_JIANG) has initiated the 關機 of computer GUANGBIN_JIANG on behalf of user NT AUTHORITY\SYSTEM for the following reason: 找不到這個原因的標題.  Reason Code: 0x500ff.  Shutdown Type: 關機.  Comment: .,98,2400,29.15,2347,8052,"Intel(R) Ethernet Connection (4) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Dual Band Wireless-AC 8265 - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:185.9,C:57.6,otsuka_no_fw,,
Windows,Online,Jesse_Yang,安全,提供非關鍵修補程式,1,Default Customer,Default Group - Default Customer,OTSUKATW\Jesse_Yang,ethan,2023/11/08 09:47:56 AM,Microsoft Windows 11 專業版 (x64),10.0.22621,12.10.0.8697,8.2.46842.23060,61.216.145.10,192.168.5.96,192.168.1.10,otsukatw.corp,Latitude 5440,13th Gen Intel(R) Core(TM) i5-1335U,G18R8Y3,Latitude 5440,Dell Inc.,未指定,2023/10/16 01:39:15 PM,UTC +08:00,N/A,N/A,N/A,20,1300,29.42,4728,16068,"Intel(R) Ethernet Connection (23) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:128.9|D:236.2,C:106.4|D:13.8,otsuka_no_fw,,
Windows,Offline,Justin_Wu,安全,提供非關鍵修補程式,2,Default Customer,Default Group - Default Customer,OTSUKATW\Justin_Wu,ethan,2023/11/01 09:53:24 PM,Microsoft Windows 11 專業版 (x64),10.0.22621,12.10.0.8697,8.2.46842.23060,123.193.248.163,"10.30.30.6,192.168.0.178",192.168.1.20,otsukatw.corp,Latitude 5300 2-in-1,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,4ZVJNT2,Latitude 5300 2-in-1,Dell Inc.,未指定,2023/10/12 10:49:31 AM,UTC +08:00,N/A,2023/10/30 11:26:09 PM,The process C:\Windows\system32\winlogon.exe (JUSTIN_WU) has initiated the 關機 of computer JUSTIN_WU on behalf of user NT AUTHORITY\SYSTEM for the following reason: 找不到這個原因的標題.  Reason Code: 0x500ff.  Shutdown Type: 關機.  Comment: .,16,1800,49.12,3920,7980,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet SSL VPN Virtual Ethernet Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:168.6,C:74.8,otsuka_no_fw,,
Windows,Online,NB_HugoChuang,安全,提供非關鍵修補程式,1,Default Customer,Default Group - Default Customer,OTSUKATW\hugochuang,ethan,2023/11/08 09:47:41 AM,Microsoft Windows 11 專業版 (x64),10.0.22621,12.10.0.8697,8.2.46842.23060,124.218.195.139,192.168.18.5,192.168.1.10,otsukatw.corp,Latitude 5440,13th Gen Intel(R) Core(TM) i5-1335U,D0ZNGY3,Latitude 5440,Dell Inc.,未指定,2023/10/06 02:39:58 PM,UTC +08:00,N/A,N/A,N/A,12,1300,62.49,10041,16068,"Intel(R) Ethernet Connection (23) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:117|D:196.9,C:168.3|D:3.1,otsuka_no_fw,,
Windows,Online,Sonia_Wang,安全,提供非關鍵修補程式,2,Default Customer,Default Group - Default Customer,OTSUKATW\Sonia_Wang,ethan,2023/11/08 09:50:10 AM,Microsoft Windows 11 專業版 (x64),10.0.22621,12.10.0.8697,8.2.46842.23060,36.227.26.225,192.168.121.109,192.168.111.2,otsukatw.corp,Latitude 5440,13th Gen Intel(R) Core(TM) i5-1335U,19HQ8Y3,Latitude 5440,Dell Inc.,未指定,2023/10/02 05:51:20 PM,UTC +08:00,N/A,2023/10/19 05:35:32 PM,The process C:\Windows\system32\winlogon.exe (SONIA_WANG) has initiated the 關機 of computer SONIA_WANG on behalf of user NT AUTHORITY\SYSTEM for the following reason: 找不到這個原因的標題.  Reason Code: 0x500ff.  Shutdown Type: 關機.  Comment: .,6,1300,63.58,10216,16068,"Intel(R) Ethernet Connection (23) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:141.2|D:193.1,C:94|D:56.9,otsuka_no_fw,,
Windows,Offline,Ryan_Lai,安全,提供非關鍵修補程式,3,Default Customer,Default Group - Default Customer,OTSUKATW\Ryan_Lai,ethan,2023/11/07 09:21:54 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.10.0.8697,8.2.46842.23060,49.217.239.84,"10.30.30.1,192.168.128.213",192.168.1.20,otsukatw.corp,Latitude 5300 2-in-1,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,1ZVJNT2,Latitude 5300 2-in-1,Dell Inc.,未指定,2023/09/19 12:18:46 PM,UTC +08:00,N/A,2023/11/07 10:54:08 AM,The process C:\Windows\System32\RuntimeBroker.exe (RYAN_LAI) has initiated the 電源關閉 of computer RYAN_LAI on behalf of user OTSUKATW\Ryan_Lai for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,100,1800,49.65,3962,7980,"Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet SSL VPN Virtual Ethernet Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:114.7|D:70.2,C:52.8|D:3.7,otsuka_no_fw,,
